"strategy","wins","draws","losses","score","points"
"3, 3, 4, 15, 15, 15, 15, 15, 15",16602,1324,13169,17264,7
"0, 12, 12, 13, 12, 13, 13, 13, 12",16312,1904,12879,17264,7
"1, 14, 14, 14, 14, 1, 14, 14, 14",16664,1198,13233,17263,7
"2, 2, 2, 16, 16, 16, 16, 15, 15",16545,1433,13117,17261.5,7
"2, 16, 2, 16, 15, 16, 16, 2, 15",16567,1384,13144,17259,7
"14, 3, 16, 5, 13, 17, 14, 14, 4",16821,874,13400,17258,7
"14, 14, 14, 1, 14, 14, 14, 14, 1",16699,1116,13280,17257,7
"16, 12, 0, 16, 0, 18, 14, 12, 12",16495,1524,13076,17257,7
"13, 13, 13, 13, 12, 12, 12, 12, 0",16316,1874,12905,17253,7
"13, 13, 13, 13, 12, 12, 12, 12, 0",16316,1874,12905,17253,7
"3, 2, 14, 14, 14, 14, 14, 14, 11",16550,1393,13152,17246.5,7
"13, 13, 14, 12, 6, 11, 15, 13, 3",16473,1543,13079,17244.5,7
"0, 13, 12, 13, 12, 13, 12, 13, 12",16282,1923,12890,17243.5,7
"1, 16, 16, 16, 1, 16, 16, 2, 16",16552,1376,13167,17240,7
"3, 4, 4, 15, 14, 15, 15, 15, 15",16643,1193,13259,17239.5,7
"2, 2, 2, 16, 16, 15, 16, 16, 15",16532,1414,13149,17239,7
"1, 2, 16, 16, 1, 16, 16, 16, 16",16526,1421,13148,17236.5,7
"1, 2, 16, 16, 1, 16, 16, 16, 16",16526,1421,13148,17236.5,7
"3, 3, 16, 11, 3, 16, 16, 16, 16",16495,1482,13118,17236,7
"0, 13, 13, 13, 12, 12, 12, 12, 13",16250,1957,12888,17228.5,7
"16, 16, 16, 16, 1, 2, 16, 1, 16",16619,1212,13264,17225,7
"4, 4, 4, 15, 15, 13, 15, 15, 15",16635,1180,13280,17225,7
"2, 16, 16, 1, 16, 16, 2, 15, 16",16541,1366,13188,17224,7
"14, 14, 15, 14, 0, 15, 14, 0, 14",16601,1242,13252,17222,7
"15, 3, 15, 3, 15, 16, 16, 3, 14",16612,1218,13265,17221,7
"3, 16, 3, 17, 2, 17, 21, 18, 3",16746,948,13401,17220,7
"13, 16, 15, 2, 5, 1, 15, 18, 15",16598,1236,13261,17216,7
"3, 15, 3, 15, 21, 21, 3, 16, 3",16610,1212,13273,17216,7
"1, 15, 12, 12, 12, 12, 12, 12, 12",16014,2402,12679,17215,7
"16, 16, 1, 16, 2, 16, 1, 16, 16",16596,1230,13269,17211,7
"15, 0, 15, 14, 0, 14, 14, 14, 14",16567,1279,13249,17206.5,7
"13, 13, 14, 12, 12, 12, 12, 0, 12",16202,2007,12886,17205.5,7
"14, 0, 14, 14, 0, 13, 16, 15, 14",16599,1207,13289,17202.5,7
"2, 12, 14, 12, 12, 20, 2, 14, 12",16199,2004,12892,17201,7
"15, 15, 15, 15, 15, 15, 4, 3, 3",16499,1402,13194,17200,7
"1, 16, 16, 16, 2, 16, 16, 1, 16",16470,1450,13175,17195,7
"15, 3, 15, 15, 16, 3, 15, 3, 15",16502,1384,13209,17194,7
"15, 15, 15, 15, 16, 16, 2, 2, 4",16470,1446,13179,17193,7
"2, 11, 12, 12, 15, 12, 12, 12, 12",15943,2497,12655,17191.5,7
"1, 14, 14, 14, 14, 14, 1, 14, 14",16595,1193,13307,17191.5,7
"16, 1, 16, 16, 1, 16, 16, 2, 16",16555,1270,13270,17190,7
"1, 1, 14, 14, 14, 14, 14, 15, 13",16520,1340,13235,17190,7
"2, 15, 15, 15, 15, 16, 14, 6, 2",16432,1516,13147,17190,7
"16, 16, 16, 1, 1, 1, 16, 16, 17",16594,1191,13310,17189.5,6
